Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-02-22,16,Burglary,10H50,Residence or House,2900-2999,BURKETT,ST,-,1
2015-02-18,23,Auto Theft,10H50,Convenience Store,3000-3099,ELGIN,ST,-,1
2015-02-17,08,Theft,10H50,"Road, Street, or Sidewalk",2100-2199,ALABAMA,ST,-,1
2015-01-29,20,Theft,10H50,Auto Repair,2300-2399,SCOTT,ST,-,1
2015-02-03,20,Theft,10H50,Commercial Parking Lot or Garage,700-799,SAN JACINTO,-,-,1
2015-02-07,12,Theft,10H50,Driveway,3800-3899,ANITA,ST,-,1
2015-02-23,12,Theft,10H50,Vacant Building (Commercial),3200-3299,DOWLING,ST,-,1
2015-02-19,14,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3200-3299,ELGIN,ST,-,1
2015-02-19,16,Theft,10H50,Bar or Night Club,2600-2699,GULF,FWY,-,1
2015-02-17,21,Robbery,10H50,"Road, Street, or Sidewalk",3300-3399,SCOTT,ST,-,1
2015-02-20,20,Aggravated Assault,10H50,Residence or House,2700-2799,TRUXILLO,-,-,1
2015-02-21,00,Theft,10H50,"Road, Street, or Sidewalk",3900-3999,DOWLING,ST,-,1
2015-02-19,09,Theft,10H50,Residence or House,3100-3199,TRULLEY,-,-,1
2015-02-20,07,Burglary,10H50,Construction Site,3600-3699,BRILEY,ST,-,1
2015-02-28,10,Aggravated Assault,10H50,Apartment,2300-2399,TUAM,-,-,1
2015-02-27,20,Theft,10H50,"Factory, Manufacturing, or Industrial",3900-3999,DENNIS,ST,-,1
2015-02-15,14,Auto Theft,10H50,Apartment Parking Lot,2700-2799,SCOTT,ST,-,1
2015-02-10,16,Aggravated Assault,10H50,Residence or House,3700-3799,BREMOND,ST,-,1
2015-02-01,08,Theft,10H50,"Hotel, Motel, Inn, Etc.",2500-2599,SAMPSON,-,-,1
2015-02-07,02,Theft,10H50,"Road, Street, or Sidewalk",2000-2099,GRAY,-,-,1
2015-02-16,17,Auto Theft,10H50,"Road, Street, or Sidewalk",3500-3599,CLEBURNE,ST,-,1
2015-02-16,17,Theft,10H50,Convenience Store,3500-3599,TIERWESTER,-,-,1
2015-02-15,04,Auto Theft,10H50,Driveway,2100-2199,BRILEY,ST,-,1
2015-02-06,07,Theft,10H50,Bar or Night Club,2300-2399,PIERCE,-,-,1
2015-02-07,08,Theft,10H50,,UNK,ELGIN,ST,-,1
2015-01-28,09,Theft,10H50,Residence or House,3400-3499,MCGOWEN,ST,-,1
2015-02-03,15,Robbery,10H50,Service or Gas Station,3500-3599,ELGIN,ST,-,1
2015-02-27,21,Theft,10H50,,3500-3599,ATTUCKS,ST,-,1
2015-02-23,18,Theft,10H60,"Road, Street, or Sidewalk",3600-3699,SOUTHMORE,BLVD,-,1
2015-02-21,12,Theft,10H60,Apartment Parking Lot,4000-4099,GRIGGS,-,-,1
2015-02-20,07,Theft,10H60,"Road, Street, or Sidewalk",3600-3699,SOUTHMORE,BLVD,-,1
2015-02-18,17,Robbery,10H60,"Road, Street, or Sidewalk",4400-4499,FERNWOOD,CT,-,1
2015-02-02,23,Burglary,10H60,Residence or House,3100-3199,WICHITA,ST,-,1
2015-01-30,03,Auto Theft,10H60,Commercial Building,2900-2999,WENTWORTH,-,-,1
2015-02-06,07,Theft,10H60,"Vacant Single Occ Resd(House,Townhs,Dplex)",2600-2699,BARBEE,ST,-,1
2015-02-05,21,Rape,10H60,Apartment,3600-3699,MACGREGOR,WAY,N,1
2015-02-15,07,Theft,10H60,Apartment Parking Lot,3000-3099,SOUTHMORE,BLVD,-,1
2015-02-15,10,Burglary,10H60,Residence or House,3300-3399,PALM,-,-,1
2015-02-14,09,Theft,10H60,Driveway,3400-3499,ARBOR,ST,-,1
2015-02-11,00,Robbery,10H60,Apartment Parking Lot,3600-3699,OLD SPANISH,TRL,-,1
2015-02-08,17,Theft,10H60,Residence or House,3600-3699,MACGREGOR,WAY,N,1
2015-02-05,23,Theft,10H60,Residence or House,2900-2999,WHEELER,-,-,1
2015-01-31,17,Theft,10H60,University or College,3600-3699,ROSEWOOD,-,-,1
2015-02-02,01,Theft,10H60,"Road, Street, or Sidewalk",3300-3399,NATCHEZ,-,-,1
2015-02-09,09,Theft,10H60,Apartment Parking Lot,5500-5599,SAMPSON,-,-,1
2015-02-12,21,Aggravated Assault,10H60,Apartment,2400-2499,SOUTHMORE,BLVD,-,1
2015-02-13,06,Theft,10H60,Apartment Parking Lot,6400-6499,DEL RIO,ST,-,1
2015-02-14,05,Aggravated Assault,10H60,Residence or House,3500-3599,ROSEWOOD,-,-,1
2015-02-17,19,Theft,10H60,Liquor Store,3100-3199,SOUTHMORE,BLVD,-,1
2015-02-27,21,Murder,10H60,"Church, Synagogue, or Temple Parking Lot",3000-3099,MACGREGOR,WAY,N,1
2015-02-28,23,Theft,10H60,"Road, Street, or Sidewalk",2600-2699,PROSPECT,-,-,1
2015-02-21,08,Theft,10H60,"Vacant Single Occ Resd(House,Townhs,Dplex)",3200-3299,ARBOR,ST,-,1
2015-02-26,10,Auto Theft,10H60,Driveway,2900-2999,RUTH,-,-,1
2015-02-23,05,Aggravated Assault,10H60,"Road, Street, or Sidewalk",5200-5299,DOWLING,ST,-,1
2015-02-17,19,Theft,10H60,Residence or House,3800-3899,PALM,-,-,1
2015-02-20,01,Theft,10H60,Liquor Store Parking Lot,3300-3399,DIXIE,DR,-,1
2015-02-23,13,Theft,10H60,Residence or House,2300-2399,WENTWORTH,-,-,1
2015-02-25,00,Aggravated Assault,10H60,Apartment,5100-5199,DOWLING,ST,-,1
2015-02-04,19,Burglary,10H60,Residence or House,3300-3399,CHARLESTON,-,-,1
2015-02-02,07,Theft,10H60,Driveway,4800-4899,DELANO,-,-,1
2015-02-01,18,Burglary,10H60,Residence or House,3400-3499,PARKWOOD,DR,S,1
2015-02-01,21,Theft,10H60,Bar or Night Club Parking Lot,4700-4799,DOWLING,ST,-,1
2015-02-11,08,Theft,10H60,Apartment Parking Lot,3700-3799,ODIN,CT,-,1
2015-02-23,09,Theft,10H60,Bar or Night Club,4700-4799,DOWLING,ST,-,1
2015-02-21,12,Theft,10H60,Apartment Parking Lot,3300-3399,MACGREGOR,WAY,S,1
2015-02-26,16,Robbery,10H60,Residence or House,4100-4199,FERNWOOD,DR,-,1
2015-02-16,07,Theft,10H60,Residence or House,3500-3599,BLODGETT,ST,-,1
2015-02-11,19,Aggravated Assault,10H60,"Road, Street, or Sidewalk",2800-2899,EAGLE,ST,-,2
2015-02-13,09,Theft,10H60,"Vacant Single Occ Resd(House,Townhs,Dplex)",3700-3799,WENTWORTH,-,-,1
2015-02-13,18,Theft,10H60,Residence or House,5100-5199,DELANO,-,-,1
2015-02-14,13,Theft,10H60,"Road, Street, or Sidewalk",3300-3399,DIXIE,DR,-,1
2015-02-09,16,Robbery,10H60,Drug Store or Medical Supply,3800-3899,OLD SPANISH,TRL,-,1
2015-01-19,10,Theft,10H60,Apartment Parking Lot,4400-4499,MACGREGOR,WAY,S,1
2015-01-28,12,Theft,10H60,Driveway,4300-4399,FERNWOOD,CT,-,1
2015-02-04,10,Burglary,10H60,Residence or House,4600-4699,ROCKWOOD,DR,-,1
2015-02-04,15,Theft,10H60,Department or Discount Store,5900-5999,SCOTT,ST,-,1
2015-02-21,09,Theft,10H60,Apartment Parking Lot,3300-3399,MACGREGOR,WAY,-,1
2015-02-21,15,Theft,10H60,Residence or House,3200-3299,BINZ,ST,-,1
2015-02-22,09,Theft,10H60,Apartment Parking Lot,2500-2599,CALUMET,-,-,1
2015-02-22,14,Theft,10H60,"Road, Street, or Sidewalk",2400-2499,CALUMET,-,-,1
2015-02-26,17,Theft,10H60,Convenience Store,3800-3899,OLD SPANISH,TRL,-,1
2015-02-16,02,Theft,10H60,"Road, Street, or Sidewalk",3300-3399,NATCHEZ,-,-,1
2015-02-15,07,Theft,10H60,"Road, Street, or Sidewalk",4200-4299,OLD SPANISH,TRL,-,1
2015-02-09,11,Robbery,10H60,"Road, Street, or Sidewalk",6500-6599,DEL RIO,ST,-,1
2015-02-27,10,Theft,10H60,"Parks and Recreation, Zoo, Swimming Pool",5200-5299,CALHOUN,RD,-,1
