Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-01-10,,02,Robbery,10H50,18C,1200-1299,ST EMANUEL,-,-,1
2010-01-13,,22,Robbery,16E30,13R,4900-4999,TIDEWATER,-,-,1
2010-01-30,,03,Robbery,12D10,18N,100-199,EDGEBROOK,DR,E,1
2010-01-08,,02,Robbery,18F60,13R,7600-7699,GESSNER,DR,S,1
2010-01-12,,21,Robbery,15E40,13R,7000-7099,FANNIN,-,-,1
2010-01-17,,01,Robbery,6B20,18R,400-499,TIDWELL,RD,E,1
2009-01-13,,20,Robbery,6B10,13R,200-299,LITTLE YORK,RD,-,1
2010-01-11,,04,Robbery,6B60,13R,600-699,RANKIN,RD,W,1
2009-11-06,,11,Robbery,6B60,13B,17100-17199,IMPERIAL VALLEY,DR,-,1
2010-01-13,,03,Robbery,7C10,13R,2800-2899,QUITMAN,-,-,1
2010-01-31,,10,Robbery,8C20,18C,7200-7299,LEY,RD,-,1
2010-01-16,,00,Robbery,18F30,18C,6300-6399,WINDSWEPT,LN,-,1
2010-01-01,,11,Robbery,6B60,13R,900-999,LANGWICK,DR,-,1
2010-01-01,,01,Robbery,2A50,13R,5200-5299,CENTER,ST,-,1
2010-01-07,,14,Robbery,8C60,13R,11400-11499,RAINCOVE,DR,-,1
2010-01-16,,12,Robbery,20G20,13R,1200-1299,WILCREST,DR,-,1
2010-01-30,,21,Robbery,7C20,13S,3500-3599,EASTEX,FWY SER,W,1
2010-01-27,,21,Robbery,7C50,100,2200-2299,GREENS,RD,-,1
2010-01-11,,00,Robbery,20G60,13R,700-799,TULLY,RD,-,1
2010-01-10,,21,Robbery,7C50,18C,2200-2299,GREENS,RD,-,1
2010-01-07,,15,Robbery,7C20,13R,5900-5999,LOCKWOOD,DR,-,1
2010-01-10,,20,Robbery,8C60,13R,6300-6399,MICOLLET,-,-,1
2010-01-27,,19,Robbery,13D10,18G,3300-3399,TELEPHONE,RD,-,1
2010-01-27,,17,Robbery,2A60,18C,1900-1999,18TH,ST,W,1
2010-01-16,,03,Robbery,2A50,13R,500-599,T C JESTER,BLVD,-,1
2010-01-29,,12,Robbery,3B50,13R,800-899,FRISCO,ST,-,1
2010-01-16,,00,Robbery,10H70,18N,2600-2699,DIXIE,DR,-,1
2010-01-30,,13,Robbery,20G10,18M,2900-2999,WEST SAM HOUSTON,PKWY,S,1
2010-01-22,,03,Robbery,7C20,13R,5000-5099,LOCKWOOD,DR,-,1
2010-01-26,,17,Robbery,13D20,18C,7900-7999,BELLFORT,ST,-,1
2010-01-21,,23,Robbery,5F10,13R,7500-7599,LONG POINT,RD,-,1
2010-01-24,,20,Robbery,14D10,11R,4900-4999,MARTIN LUTHER KING,BLVD,-,1
2010-01-21,,21,Robbery,10H50,13R,3200-3299,TRUXILLO,-,-,1
2010-01-21,,20,Robbery,11H10,13R,6700-6799,AVE C,-,-,1
2010-01-18,,21,Robbery,6B60,13R,800-899,HARVEST TIME,LN,-,1
2010-01-10,,14,Robbery,6B60,18C,17500-17599,WAYFOREST,DR,-,1
2010-01-18,,18,Robbery,20G10,18T,5600-5699,RANCHESTER,DR,-,1
2010-01-01,,01,Robbery,11H20,18G,1500-1599,EVERGREEN,DR,-,1
2010-01-19,,20,Robbery,10H70,13R,6300-6399,FANNIN,-,-,1
2010-01-07,,04,Robbery,10H50,13R,3300-3399,ADAIR,ST,-,1
2010-01-12,,20,Robbery,18F30,13R,6100-6199,FAIRDALE,LN,-,1
2010-01-12,,20,Robbery,12D10,18C,9400-9499,ALMEDA GENOA,RD,-,1
2010-01-15,,23,Robbery,3B40,18C,700-799,GLENBURNIE,DR,-,1
2010-01-11,,18,Robbery,13D20,13R,8400-8499,WYNBROOK,-,-,1
2010-01-26,,23,Robbery,14D10,13B,4600-4699,YELLOWSTONE,BLVD,-,1
2010-01-26,,22,Robbery,3B40,18C,700-799,GLENBURNIE,DR,-,1
2010-01-28,,18,Robbery,18F60,13R,7100-7199,TOURS,DR,-,1
