Date,Hour,Offense Type,Beat,Block Range,Street Name,Type,Suffix,# Of
2014-08-25,18,Robbery,10H40,Other Parking Lot,2700-2799,MILAM,-,-
2014-08-22,08,Robbery,10H40,"Road, Street, or Sidewalk",3600-3699,MAIN,ST,-
2014-08-28,01,Theft,10H40,Other Parking Lot,1500-1599,ALABAMA,ST,-
2014-08-28,09,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-
2014-08-30,18,Theft,10H40,,4200-4299,MAIN,ST,-
2014-08-31,19,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-28,22,Theft,10H40,Construction Site,3800-3899,MAIN,ST,-
2014-08-16,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-18,10,Theft,10H40,,2400-2499,SAN JACINTO,-,-
2014-08-14,08,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,DREW,ST,-
2014-08-20,17,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-
2014-08-21,05,Burglary,10H40,"Road, Street, or Sidewalk",2900-2999,CHENEVERT,-,-
2014-08-21,22,Robbery,10H40,Alley,2100-2199,FANNIN,-,-
2014-08-22,11,Burglary,10H40,Bar or Night Club,3100-3199,SAN JACINTO,-,-
2014-08-23,01,Theft,10H40,,3500-3599,MOSLEY,CT,-
2014-08-23,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-25,20,Theft,10H40,"Road, Street, or Sidewalk",UNK,FANNIN,ST,-
2014-08-26,02,Theft,10H40,"Road, Street, or Sidewalk",3000-3099,CAROLINE,ST,-
2014-08-08,23,Robbery,10H40,"Road, Street, or Sidewalk",2900-2999,TRAVIS,-,-
2014-08-09,14,Burglary,10H40,"Multi-Plex Home (Duplex,Triplex Etc.)",3400-3499,LA BRANCH,-,-
2014-08-06,17,Auto Theft,10H40,Service or Gas Station,2200-2299,MAIN,ST,-
2014-08-11,14,Theft,10H40,,3100-3199,MAIN,ST,-
2014-08-11,20,Robbery,10H40,"Road, Street, or Sidewalk",4200-4299,SAN JACINTO,-,-
2014-08-11,03,Robbery,10H40,"Road, Street, or Sidewalk",2600-2699,MAIN,ST,-
2014-06-28,20,Theft,10H40,Bar or Night Club,UNK,MCGOWEN,ST,-
2014-08-02,04,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-
2014-08-06,12,Aggravated Assault,10H40,Convenience Store,400-499,RICHMOND,AVE,-
2014-08-03,13,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3700-3799,TRAVIS,-,-
2014-08-17,02,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,CAROLINE,ST,-
2014-08-13,00,Theft,10H40,Apartment Parking Lot,2300-2399,MILAM,-,-
2014-08-14,13,Theft,10H40,Bar or Night Club,3000-3099,CAROLINE,ST,-
2014-08-10,00,Auto Theft,10H40,,1100-1199,EAGLE,ST,-
2014-08-12,12,Theft,10H40,Office Building,2000-2099,CRAWFORD,ST,-
2014-08-12,14,Theft,10H40,,4200-4299,SAN JACINTO,-,-
2014-08-06,17,Theft,10H40,,4200-4299,MAIN,ST,-
2014-08-05,08,Theft,10H40,,3400-3499,LA BRANCH,-,-
