Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-10-07,22,Theft,10H50,"Road, Street, or Sidewalk",3400-3499,ANITA,ST,-,1
2014-10-10,00,Aggravated Assault,10H50,Residence or House,2600-2699,DELANO,-,-,1
2014-10-14,19,Aggravated Assault,10H50,,3600-3699,DENNIS,ST,-,1
2014-10-14,14,Burglary,10H50,Apartment,3100-3199,TUAM,-,-,1
2014-10-25,16,Theft,10H50,University or College,3100-3199,CLEBURNE,ST,-,1
2014-10-27,11,Aggravated Assault,10H50,Grocery Store or Supermarket,3000-3099,SAUER,-,-,1
2014-10-28,22,Robbery,10H50,"Road, Street, or Sidewalk",3800-3899,ENNIS,ST,-,1
2014-10-23,11,Burglary,10H50,Residence or House,3000-3099,HOLMAN,-,-,1
2014-10-25,12,Theft,10H50,Vacant School or College/University,4800-4899,CALHOUN,RD,-,1
2014-10-29,18,Theft,10H50,Residence or House,3200-3299,SIMMONS,-,-,1
2014-10-13,07,Theft,10H50,University or College,3000-3099,COLUMBIA TAP BIKE,TRL,-,1
2014-10-07,11,Theft,10H50,"Road, Street, or Sidewalk",2900-2999,LUCINDA,-,-,1
2014-10-02,21,Theft,10H50,"Vacant Church, Synagogue, or Temple",3700-3799,ELGIN,ST,-,1
2014-10-03,00,Theft,10H50,,3500-3599,SCOTT,-,-,1
2014-10-06,08,Burglary,10H50,Residence or House,3400-3499,REEVES,-,-,1
2014-10-23,17,Theft,10H50,Residence or House,3300-3399,MCGOWEN,ST,-,1
2014-10-27,14,Theft,10H50,Other Parking Lot,3600-3699,ROSALIE,-,-,1
2014-10-20,08,Robbery,10H50,"Road, Street, or Sidewalk",3400-3499,BURKETT,ST,-,1
2014-10-15,13,Theft,10H50,Liquor Store Parking Lot,2600-2699,MCGOWEN,ST,-,1
2014-10-15,13,Theft,10H50,Restaurant or Cafeteria Parking Lot,3300-3399,SCOTT,-,-,1
2014-10-26,20,Theft,10H50,Restaurant or Cafeteria Parking Lot,3700-3799,SCOTT,-,-,1
2014-10-23,10,Aggravated Assault,10H50,Apartment,3300-3399,ALABAMA,-,E,1
2014-10-09,10,Aggravated Assault,10H50,Residence or House,3500-3599,TUAM,-,-,1
2014-10-08,18,Theft,10H50,,3700-3799,ELGIN,ST,-,1
2014-10-31,12,Robbery,10H50,"Road, Street, or Sidewalk",3700-3799,TIERWESTER,-,-,1
