Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-01-22,06,Auto Theft,8C30,"Church, Synagogue, or Temple",8100-8199,HOUSTON,RD,E,1
2015-01-23,17,Burglary,8C30,Residence or House,8100-8199,LAURA KOPPE,RD,-,1
2015-01-22,22,Auto Theft,8C30,Apartment Parking Lot,7300-7399,WAYSIDE,-,N,1
2015-01-24,05,Theft,8C30,Driveway,7800-7899,GREEN RIVER,DR,-,1
2015-01-25,01,Burglary,8C30,Department or Discount Store,5900-5999,WAYSIDE,-,N,1
2015-01-02,19,Theft,8C30,Residence or House,7800-7899,LAURA KOPPE,RD,-,1
2015-01-02,14,Auto Theft,8C30,Residence or House,8200-8299,RICHLAND,DR,-,1
2015-01-02,11,Theft,8C30,"Field, Woods, Forest, Park",7900-7999,BLUE,ST,-,1
2015-01-03,04,Theft,8C30,"Road, Street, or Sidewalk",6100-6199,FAIRCHILD,ST,-,1
2015-01-03,21,Theft,8C30,"Field, Woods, Forest, Park",7900-7999,OAK KNOLL,LN,-,1
2015-01-06,11,Theft,8C30,Residence or House,8100-8199,COUNT,ST,-,1
2015-01-08,12,Theft,8C30,Other Parking Lot,9300-9399,WAYSIDE,-,N,1
2015-01-07,16,Theft,8C30,Driveway,8100-8199,COUNT,ST,-,1
2015-01-07,20,Aggravated Assault,8C30,Convenience Store,6300-6399,EASTLAND,ST,-,1
2015-01-08,06,Murder,8C30,"Road, Street, or Sidewalk",7900-7999,BETTY BOOP,ST,-,1
