Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-09-28,07,Aggravated Assault,10H50,Service or Gas Station,3300-3399,DOWLING,ST,-,1
2014-09-28,13,Robbery,10H50,Convenience Store,3000-3099,SCOTT,-,-,1
2014-09-28,16,Robbery,10H50,"Road, Street, or Sidewalk",2700-2799,BERRY,ST,-,1
2014-09-07,13,Theft,10H50,,3700-3799,BURKETT,ST,-,1
2014-08-16,12,Theft,10H50,Liquor Store,3700-3799,DOWLING,ST,-,1
2014-09-05,13,Burglary,10H50,Residence or House,3200-3299,NAPOLEON,-,-,1
2014-09-06,22,Theft,10H50,Mall Parking Lot,2200-2299,ALABAMA,ST,-,1
2014-09-04,07,Theft,10H50,Residence or House,2900-2999,HUTCHINS,-,-,1
2014-09-25,18,Burglary,10H50,"Vacant Single Occ Resd(House,Townhs,Dplex)",3400-3499,ELGIN,ST,-,1
2014-09-14,14,Theft,10H50,,3100-3199,CLEBURNE,ST,-,1
2014-09-10,13,Theft,10H50,,4000-4099,ELGIN,ST,-,1
2014-09-10,14,Aggravated Assault,10H50,Residence or House,2700-2799,DELANO,-,-,1
2014-09-08,22,Aggravated Assault,10H50,Residence or House,2800-2899,LUCINDA,-,-,1
2014-09-03,13,Burglary,10H50,"Vacant Single Occ Resd(House,Townhs,Dplex)",2200-2299,BERRY,ST,-,1
2014-09-01,18,Robbery,10H50,"Other, Unknown, or Not Listed",3100-3199,ALABAMA,ST,-,1
2014-09-22,16,Robbery,10H50,"Road, Street, or Sidewalk",3200-3299,ELGIN,ST,-,1
2014-09-30,07,Robbery,10H50,Service or Gas Station,3500-3599,ELGIN,ST,-,1
2014-09-29,22,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2700-2799,MCGOWEN,ST,-,2
2014-09-29,13,Theft,10H50,,2700-2799,CHARTRES,-,-,1
2014-09-27,16,Burglary,10H50,Residence or House,2300-2399,TUAM,-,-,1
2014-09-06,03,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3400-3499,ELGIN,ST,-,1
2014-09-04,10,Theft,10H50,,3300-3399,SCOTT,-,-,1
2014-09-17,10,Burglary,10H50,Residence or House,3400-3499,REEVES,-,-,1
