WARNING *** file size (2752234) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses,Field11
2010-09-02,23,Robbery,18F40,18A,7900-7999,WESTHEIMER,RD,-,1,
2010-09-02,21,Robbery,5F30,18A,5900-5999,FLINTLOCK,RD,-,1,
2010-09-02,20,Robbery,19G50,080,9800-9899,BISSONNET,ST,-,1,
2010-09-02,16,Robbery,2A10,18C,2200-2299,FULTON,ST,-,1,
2010-09-02,13,Robbery,12D70,20A,15900-15999,GALVESTON,RD,-,1,
2010-09-02,12,Robbery,19G10,20A,10000-10099,GREENFORK,DR,-,1,
2010-09-01,22,Robbery,6B10,13H,5600-5699,AIRLINE,DR,-,1,
2010-09-02,11,Robbery,17E30,02B,9800-9899,GESSNER,DR,S,1,
2010-09-02,11,Robbery,1A20,02B,4300-4399,MONTROSE,BLVD,-,1,
2010-09-09,11,Robbery,7C10,080,5400-5499,EAST,FWY,-,1,
2010-09-09,02,Robbery,18F40,18N,2600-2699,WINROCK,BLVD,-,1,
2010-09-02,09,Robbery,6B10,13R,200-299,SUNNYSIDE,-,-,1,
2010-08-24,03,Robbery,7C30,140,3000-3099,CROSSTIMBERS,-,E,1,
2010-09-02,09,Robbery,17E10,13R,6500-6599,BELLAIRE,BLVD,-,1,
2010-09-01,01,Robbery,10H70,18B,5400-5499,ALMEDA,RD,-,1,
2010-09-02,07,Robbery,6B60,18A,17400-17499,IMPERIAL VALLEY,DR,-,1,
2010-09-02,06,Robbery,12D10,070,8600-8699,MOSLEY,RD,-,1,
2010-09-02,06,Robbery,8C40,18P,5900-5999,MESA,DR,-,1,
2010-09-02,03,Robbery,19G50,18R,9800-9899,BISSONNET,ST,-,1,
2010-09-02,03,Robbery,17E10,18R,6000-6099,HILLCROFT,-,-,1,
2010-09-02,02,Robbery,11H10,18A,8000-8099,SHERMAN,-,-,1,
2010-09-02,00,Robbery,13D20,18A,8200-8299,BROADWAY,ST,-,1,
2010-09-01,23,Robbery,7C20,18C,5500-5599,LOCKWOOD,DR,-,1,
2010-09-01,22,Robbery,10H50,13R,3200-3299,VELASCO,-,-,1,
2010-09-01,20,Robbery,6B60,18A,500-599,SEMINAR,DR,-,1,
2010-09-01,17,Robbery,19G10,18A,8600-8699,COURSE,DR,S,1,
2010-09-10,00,Robbery,16E40,13R,6500-6599,RIDGECREEK,DR,W,1,
2010-09-01,18,Robbery,20G30,18A,12000-12099,RICHMOND,AVE,-,1,
2010-09-01,18,Robbery,10H50,13R,2900-2999,ALABAMA,ST,-,1,
2010-09-01,18,Robbery,3B40,13R,600-699,40TH,ST,E,1,
2010-09-01,15,Robbery,12D10,18U,9900-9999,KLECKLEY,DR,-,1,
2010-09-01,15,Robbery,4F10,13R,1000-1099,GESSNER,DR,-,1,
2010-09-01,13,Robbery,3B50,13R,600-699,JULIA,-,-,1,
2010-08-28,10,Robbery,6B60,13R,12900-12999,NORTH,FWY SER,W,1,
2010-09-01,13,Robbery,15E10,13B,5700-5799,BEECHNUT,ST,-,1,
2010-09-01,13,Robbery,2A60,13R,1500-1599,BEALL,ST,-,1,
2010-08-01,11,Robbery,6B20,18G,6800-6899,MONTGOMERY,RD,W,1,
2010-09-01,11,Robbery,3B50,18A,100-199,CROSSTIMBERS,-,E,1,
2010-09-10,11,Robbery,14D30,20R,5200-5299,DOULTON,DR,-,1,
2010-09-01,11,Robbery,12D70,18G,100-199,EL DORADO,BLVD,W,1,
2010-09-01,11,Robbery,12D10,18G,400-499,EDGEBROOK,DR,-,1,
2010-09-01,06,Robbery,20G10,18A,10200-10299,HARWIN,DR,-,1,
2010-09-01,02,Robbery,11H30,20R,8300-8399,PARK TERRACE,-,-,1,
2010-09-04,16,Robbery,19G10,20A,9500-9599,WOODFAIR,DR,-,1,
2010-09-05,12,Robbery,19G30,250,12700-12799,BEECHNUT,ST,-,1,
2010-09-10,19,Robbery,15E40,20A,2600-2699,WESTRIDGE,ST,-,1,
2010-09-10,19,Robbery,17E40,18A,6300-6399,BELLFORT,ST,W,1,
2010-09-05,05,Robbery,6B50,18A,200-299,ALDINE BENDER,RD,-,1,
2010-09-05,16,Robbery,20G50,080,900-999,GESSNER,DR,-,1,
2010-09-05,20,Robbery,20G10,13R,6000-6099,RANCHESTER,DR,-,1,
2010-09-10,20,Robbery,18F30,13R,6400-6499,FAIRDALE,LN,-,1,
